Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Clean,GW,5.47,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Fossil,GW,29.75,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Gas and Other Fossil,GW,21.34,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GW,5.47,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Renewables,GW,5.47,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Wind and Solar,GW,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Bioenergy,GW,0.75,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Coal,GW,8.41,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Gas,GW,10.12,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Hydro,GW,4.2,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Other Fossil,GW,11.22,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Other Renewables,GW,0.52,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Solar,GW,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Wind,GW,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity demand,Demand,Demand,TWh,98.04,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity demand,Demand per capita,Demand per capita,MWh,0.45,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Clean,%,20,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Fossil,%,80.01,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,45.33,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,20,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Renewables,%,20,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Wind and Solar,%,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Clean,TWh,19.6,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Fossil,TWh,78.44,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,44.44,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,19.6,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Renewables,TWh,19.6,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Bioenergy,%,4.37,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Coal,%,34.68,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Gas,%,32.57,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Hydro,%,10.22,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Fossil,%,12.76,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Renewables,%,5.41,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Solar,%,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Wind,%,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Bioenergy,TWh,4.28,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Coal,TWh,34,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Gas,TWh,31.93,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Hydro,TWh,10.02,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Fossil,TWh,12.51,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Renewables,TWh,5.3,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Solar,TWh,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Wind,TWh,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Total,Total Generation,TWh,98.04,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Electricity imports,Electricity imports,Net Imports,TWh,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Clean,mtCO2,1.37,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Fossil,mtCO2,60.46,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,30.71,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,1.37,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Renewables,mtCO2,1.37,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,630.66,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Bioenergy,mtCO2,0.93,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Coal,mtCO2,29.75,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Gas,mtCO2,22.48,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Hydro,mtCO2,0.24,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Other Fossil,mtCO2,8.23,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Other Renewables,mtCO2,0.2,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Solar,mtCO2,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Fuel,Wind,mtCO2,0,,
Indonesia,IDN,2000,Country or economy,Asia,Asia,0,0,1,0,1,Power sector emissions,Total,Total emissions,mtCO2,61.83,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Clean,GW,4.66,-0.81,-14.81
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Fossil,GW,21.55,-8.2,-27.56
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Gas and Other Fossil,GW,13.14,-8.2,-38.43
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",GW,4.66,-0.81,-14.81
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Renewables,GW,4.66,-0.81,-14.81
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Aggregate fuel,Wind and Solar,GW,0,0,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Bioenergy,GW,0.75,0,0
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Coal,GW,8.41,0,0
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Gas,GW,10.12,0,0
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Hydro,GW,3.12,-1.08,-25.71
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Other Fossil,GW,3.02,-8.2,-73.08
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Other Renewables,GW,0.79,0.27,51.92
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Solar,GW,0,0,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Capacity,Fuel,Wind,GW,0,0,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity demand,Demand,Demand,TWh,106.16,8.12,8.28
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity demand,Demand per capita,Demand per capita,MWh,0.49,0.04,8.89
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Clean,%,20.89,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Fossil,%,79.1,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,43.58,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,20.89,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Renewables,%,20.89,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Wind and Solar,%,0,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Clean,TWh,22.19,2.59,13.21
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Fossil,TWh,83.97,5.53,7.05
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,46.26,1.82,4.1
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,22.19,2.59,13.21
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Renewables,TWh,22.19,2.59,13.21
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0,0,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Bioenergy,%,4.31,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Coal,%,35.52,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Gas,%,31.17,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Hydro,%,10.97,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Fossil,%,12.41,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Renewables,%,5.61,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Solar,%,0,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Wind,%,0,,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Bioenergy,TWh,4.58,0.3,7.01
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Coal,TWh,37.71,3.71,10.91
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Gas,TWh,33.09,1.16,3.63
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Hydro,TWh,11.65,1.63,16.27
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Fossil,TWh,13.17,0.66,5.28
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Other Renewables,TWh,5.96,0.66,12.45
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Solar,TWh,0,0,
Indonesia,IDN,2001,Country or economy,Asia,Asia,0,0,1,0,1,Electricity generation,Fuel,Wind,TWh,0,0,
